id,Question,optionA,optionB,optionC,optionD,correct_option,Time,Explanation
79,What is the name of Indian social activist who is one of the six winners of Goldman Environmental Award 2017.,MC Mehta,Rasheeda Bi,Champaran Shukla,Prafulla Samantra,D,45,"Social activist Prafulla Samantra was one of six winners of the Goldman Environmental Prize, in San Francisco. He was one of the key leaders responsible for rallying tribes, indigenous to Odisha's Niyamgiri region."
80,Who was awarded with Dadasaheb Phalke Award 2016?,Devika Rani,Kasinathuni Viswanath,Amir Khan,Naseeruddin Shah,B,45,"Renowned filmmaker and actor Kasinadhuni Viswanath has won the Dadasaheb Phalke award for the year 2016 for his outstanding contribution to the film industry. The award consists of a golden lotus, a cash prize of Rs.10 lakh and a shawl. President Pranab Mukherjee will confer the award on him at a ceremony on May 3 at Vigyan Bhawan."
81,Which state government signed MoU with Indian Railways to expand green cover?,Kerala,Uttar Pradesh,Maharashtra,Rajasthan,C,45,"The Maharashtra government recently signed a Memorandum of Understanding (MoU) with the Indian Railways, under which trees will be planted on the land adjacent to the railway tracks in the state. The government is committed to planting 4 crore trees on July 1, 2017."
82,Which bank won the 2017 Golden Peacock Innovative Product/Service Award (GPIPSA)?,ICICI Bank,State Bank of India,Axis Bank,Yes Bank,D,45,"YES BANK, India's fifth largest private sector Bank, has won the prestigious Golden Peacock Innovative Product/Service Award 2017 for its innovative mobile technology product, SIMsePAY at the Dubai Global Convention 2017 for the 27th World Congress on Leadership for Business Excellence &amp; Innovation and Presentation of Golden Peacock Awards."
83,"Which countries were elected to the Committee for Programme and Coordination (CPC), a subsidiary body of the UN Economic and Social Council (EOSOC)?","Burkina Faso, Iran, Chile and Japan","India, Pakistan, Cuba and Belarus","Bulgaria, Moldova, UK, US and Brazil",All of the above,D,45,"India along with 12 other members, was elected to the Committee for Programme and Coordination (CPC), a subsidiary body of the UN Economic and Social Council (ECOSOC). The country garnered the most number of votes in the Asian group,with 49 out of 50 members of ECOSOC voting in its favour."
84,Which two countries recently signed a Memorandum of Understanding to restore the diplomatic ties after a hiatus of 37 years?,Malaysia and the Philippines,Cuba and Morocco,Turkey and Saudi Arabia,None of the above,B,45,Morocco and Cuba have restored diplomatic ties after 37-year hiatus. To this effect ambassadors of the two countries to the United Nations (UN) signed a memorandum of understanding (MoU) in New York.
85,Which of the following Indian films won the Jury Prize for Best Film at the Hong Kong International Film Festival?,Hindi Medium,Prakash Electronic,Reloaded,Newton,D,45,Newton has won the Jury Prize for Best Film at the Hong Kong International Film Festival. The film won the Art Cinema award for the Forum section. The film also went to 16th Annual Tribeca Film Festival.
86,The National Panchayati Raj Diwas is celebrated on which date in India?,23-Apr,22-Apr,20-Apr,24-Apr,D,45,The Government of India decided in consultation with the States to celebrate 24th April as National Panchayati Raj Day. This date marks a defining moment in the history of decentralization of political power to the grassroots level.
87,Who is the Chief Executive Officer Airline Equity Partners?,Bruno Matheu,Robin Kamark,Mohamed Mubarak,None of the above,B,45,"Etihad Aviation Group (EAG) appointed Robin Kamark as the Chief Executive Officer for airline equity partners. Kamark will take up his new position in October 2017, and responsible for leading and developing the group's minority equity investment strategy, which includes stakes in airberlin, Alitalia, Jet Airways, Air Serbia, Air Seychelles, Etihad Regional and Virgin Australia."
88,Indian sprinter Man Kaur recently clinched the 100 metres sprint at the World Masters Games. The event was held in which of the following countries?,New Zealand,Australia,Canada,Italy,A,45,"Man Kaur, a 101-year-old athlete from India, won the 100 metres sprint at the World Masters Games in Auckland. Kaur already has a swag of gold medals that would rival Michael Phelps'haul and also plans to compete in the 200m sprint, two kilogramme shot put and 400-gram javelin in Auckland, taking her tally to 20."
89,Where is the location of the temple were the Peshawar High Court recently allowed Pakistani Hindus to worship at a Shiva temple.,Rawalpindi,Abbottabad,Peshawar,Islamabad,C,45,A bench of the Peshawar High Court (PHC) headed by Justice Ateeq Hussain Shah permitted Hindus to worship at the Shiv Jee temple of Khyber Pakhtunkhwa under section 20 of the Constitution.
90,"The President of United States, Donald Trump wants to send American astronauts to which space body?",Mars,Venus,Moon,Saturn's Moon,A,45,"Donald Trump wants humans on Mars and to get humans on the Red Planet in the 2030s and wants people on Mars by the end of his first term, in three-and-a-half years."
91,Which city will be hosting the 2017 United Nations Oceans Conference?,Lisbon,Beijing,New York,Geneva,C,45,The World Ocean Festival is a public event on June 4 timed to support The Ocean Conference at UN Headquarters in New York City (June 5-9). They will also commemorate World Ocean Day on June 8.
92,Which state announced to give free laptops to 500 meritorious students who secure a minimum of 95 per cent marks in Class X Board examination?,Bihar,Kerala,Haryana,Delhi,C,45,Haryana Chief minister Manohar Lal Khattar announced to give free laptops to 500 meritorious students who secure a minimum of 95 per cent marks in Class X Board examination this year. It will be provided under State Merit Scholarship scheme.
93,NASA successfully launched its heavy-lift super pressure balloon in _______.,China,New Zealand,Japan,Algeria,B,45,"NASA successfully launched its football-stadium-sized, heavy-lift super pressure balloon (SPB) from Wanaka, New Zealand. It flying on a national day of remembrance in New Zealand and Australia similar in spirit to the U.S. observance of Memorial Day."
94,Which state government wins the Golden Globe Tigers Award for Excellence and Leadership in CSR in the category of 'E-Payment Leadership' for the implementation of digital transactions?,Maharashtra,Punjab,Bihar,Gujarat,D,45,"Gujarat Narmada Valley Fertilisers and Chemicals Ltd (GNFC) has won the prestigious Golden Globe Tigers Award for Excellence and Leadership in CSR in the category of 'E-Payment Leadership' for the implementation of digital transactions in its township at Bharuch, Gujarat."
95,What is the rank of India as per the report of SIPRI military expenditure database?,3rd,5th,4th,2nd,B,45,"India became the world's fifth-largest military spender, as per the figures released by the Stockholm International Peace Research Institute (SIPRI). India spent around USD 55.9 billion for its military in the year 2016. It is followed by US, China, Russia, and Saudi Arabia."
96,"The international conference on ""Dara Shikoh: Reclaiming Spiritual Legacy of India"" will be held on _____.","April 27, 28","April 28, 29","May 1, 2","May 3, 4",A,45,"The international conference on ""Dara Shikoh: Reclaiming Spiritual Legacy of India"" will be held on April 27 and 28. The conference will be organised by the Indian Council Of Cultural Relations (ICCR). The conference will see the participation of eminent scholars from the US, Iran, Afghanistan, Tajikistan, Uzbekistan, Kazakhstan and India. The objective of the conference is to highlight Dara Shikoh's contributions to bring about spiritual homogenisation of Hinduism and Islam."
97,"Which country prohibited parents from choosing baby names like Islam, Medina, Jihad and Quran for their children?",Japan,New Zealand,China,Bangladesh,C,45,"The Chinese government prohibited parents from choosing baby names like Islam, Medina, Jihad and Quran for their children, thereby strengthening its hold on Muslims living in western China. The list titled ""List of Banned Ethnic Minority Names"" includes over two dozen names including Mujahid, Arafat, Muhammad, Quran, Mecca, Jihad, Imam, Saddam, Hajj and Medina."
98,The double-decker AC train to be launched on high-density routes like Delhi-Lucknow in July 2017. The name of the train is,Jaipur Delhi Sarai Rohilla AC Double Decker Express,Visakhapatnam-Tirupati Double Decker Express,Jaipur Delhi Sarai Rohilla AC Double Decker Express,Utkrisht Double-Decker AC Yatri Express,D,45,"The Indian Railways will be launching a special rail service, Utkrisht Double Decker AC Yatri (Uday) Express in July 2017. The aim of the double-decker service is to provide better amenities to passengers in a lesser fare. It would ply only on high-demand routes like Delhi-Lucknow."
99,The central government has informed the Supreme Court to provide unique identification number for which animal?,Cow,Goat,Horse,Dog,A,45,"All cows their calves, oxen and bulls in the country will be tagged with a tamper-proof Unique Identification Number (UIN) to stop their smuggling, the Centre told the Supreme Court. Identification details includes age, breed, sex, lactation, height, body colour, horn type, tail switch and special marks."
