ID,Question,Option A,Option B,Option C,Option D,Correct Option,Timer,explaination
64,"Iron is present in all, EXCEPT",Myoglobin,Cytochrome,Catalase,Pyruvate kinase,D,45,No explanation given
65,The most common bone tumor that occurs in children is:,Osteosarcoma,Ewing's sarcoma,Metastatic carcinoma,Multiple myeloma,A,45,No explanation given
66,"In a couple for treatment of infeility from the last four years, female paner is normal. Male paner has 0.8 ml semen volume per ejaculate on two repeated samples and absent fructose, with no sperms on examination under microscope. What is the next line of management?",Per-rectal examination to check ejaculatory duct obstruction,Give antioxidants,Testicular biopsy,Transrectal ultrasound to detect duct obstruction,D,45,"Answer- D. Transrectal ultrasound to detect duct obstructionAbsent fructose with no sperms in ejaculate is suggestive of obstruction of vas deferens with seminal vesicle agenesis or obstruction. Next line of management in this patient would be transrectal ultrasound to detect duct obstruction.Transrectal Ultrasound-High-frequency (5-7) mHz transrectal ultrasound (TRUS) offers superb imaging of the prostate, seminal vesicles, and ejaculatory ducts.Due to both accuracy and convenience, TRUS has replaced surgical vasography in the diagnosis of obstructive lesions that cause infeility."
67,The zygomatic bone does not articulate with:,Frontal bone,Maxillary bone,Nasal bone,Temporal bone,C,45,No explanation given
68,Which of the following statements is true regarding medical aboion?,Ultrasound should be done in all cases,"If the patient has an IUCD in-situ, it doesn't need to be removed",Can only be done up to 72 days,Only a person ceified under MTP act can perform medical termination of pregnancy,D,45,"Ans: D. Only a person ceified under MTP act can perform medical termination of pregnancy(Ref Shaw 16/e 28(, 15/e p244-245, William) 24/e p568).MTP can be performed up to 20 weeks according to MTP act.Ultrasound is not needed in all cases.Only ceified person for MTP act can perform medical termination of pregnancy."
69,Calcium ions triggers muscle contraction by binding to:,Actin,Myosin,Troponin,Tropomyosin,C,45,No explanation given
70,"SD plasma destroys lipid enveloped virus. On SD plasma transfusion, which of the following infection is the likely possibility?",HIV,HAV,HBV,HCV,B,45,"Since SD plasma destroys lipid enveloped viruses the viruses which are not enveloped are most likely to cause infection. The impoant non enveloped viruses are viruses belonging to family PICORNAVIRIDAE, REOVIRIDAE, ASTROVIRIDAE and CALCIVIRIDAE and one of the impoant member of PICORNAVIRIDAE is hepatitis a virus which is a non enveloped RNA virus."
71,"According to the intelligence quotient classification, a score of 90-110 is:",Low average.,Average,Superior,Mentally retarded.,B,45,No explanation given
72,"Due to which of the following enzyme deficiency, vitamin C cannot be synthesised in humans?",L-Glucuronic acid oxidase,L-Gulonic acid reductase,L-Gulonolactone oxidase,L-Gulonolactone reductase,C,45,"L-Gulonolactone oxidase produces Vitamin C Uronic acid pathway, but only in plants & most animals. Humans cannot make vitamin C due to absence of L-Gulonolactone oxidase enzyme.(See fig) Uronic acid pathway- glucose is conveed to glucuronic acid, pentoses and, in some animals, to ascorbic acid (not in man). ADDITIONAL EDGE: Uronic Acid Pathway synthesize Glucuronic Acid, Pentoses and Vit C Uses of Glucuronic acid: Incorporated into proteoglycans (Glucuronate used) Acts as a conjugating agent (Phase II conjugation reactions like bilirubin conjugation)"
73,In a patient of heart disease antibiotic prophylaxis for dental extraction is:,Amoxicillin.,Imipenem.,Gentamicin.,Erythromycin.,A,45,No explanation given
74,"Which of the following type of failure may occur, if the coefficient of thermal expansion of ceramic is much lower than that of metal?",Cohesive failure of ceramic,Adhesive failure of metal ceramic bond,Cohesive failure of metal,Cohesive failure of metal ceramic bond,B,45,"A thermal contraction mismatch that results from a higher coeﬃcient of contraction of porcelain (αP is greater than αM) will introduce residual tangential and hoop tensile stresses. The additive eﬀect of tangential tensile stress induced in the porcelain by the intraoral force can exceed the tensile strength of the porcelain and causes crack propagation in the porcelain veneer. When the contraction coeﬃcient of the porcelain is much lower than that of the metal (αP much lower than αM), porcelain cracking or metal-ceramic bond failure can occur near the metal-porcelain interface. This incompatibility failure is likely caused by the development of radial tensile stresses that exceed the tensile strength of porcelain.
Contraction coeﬃcient of the porcelain - αP  
Contraction coeﬃcient of the metal - αM
 
Phillip’s 12th edition page 423"
75,Anti monsoon curve seen in :,Premolar,Molar,Anterior,All of the above.,D,45,No explanation given
76,"A 10 years old child has lytic lesions in upper femur, the differential diagnosis can be all except :",Plasmacytoma,Browns tumour,Metastasis,Histiocytosis,A,45,"Plasmocytoma can be easily ruled out.
It is a localized form of multiple myeloma which usually occurs in 5th to 7th decade.
Metastasis, histiocytosis and brown tumor can cause lytic bone lesions in childhood."
77,During periradicular surgery bone is removed with?,Round burr,Double inverted cone burr,Fissure burr,Taper Burr,A,45,No explanation given
78,The primary function of the dental pulp is:,Nutritive,Production of dentin,Production of enamel,Vascular supply to the teeth,B,45,No explanation given
79,Which of the following increases callus formation:,Rigid immobilization,Movement at fracture site,Compression plating,Intraosseous nailing,B,45,Ans: B. Movement at fracture site (Ref Apley 9/e p689)Micro movements at fracture site encourages vascular proliferation -Increases callus formation.
80,Child of Vasanthi was weaned from breast milk on the 5th day and was given sugarcane juice the child developed hypoglycemia and hepatomegaly biochemical examination showed hypophosphatemia and enzyme deficiencies–reducing substances in urine. The child is probably suffering from which of the following enzyme deficiencies –,Fructokinase,Aldolase B,Glucose 6 Phosphatase,Beta galactosidase,B,45,"HEREDITARY FRUCTOSE INTOLERANCE 

Symptoms of hypoglycemia, hepatomegaly develping after injection of excessive fructose intake (sugar cane juice contains the major dietary source of fructose-Sucrose suggest the diagnosis of hereditary fructose intolerance.
Clinical disorders related to fructose metabolism can result from excessive fructose consumption that exceed's the body's ability to efficiently convert the sugar into metabolic intermediates.
In normal persons fructose is metabolized in the following way"
81,Skeletal muscles,Contracts when calcium is taken up by sarcoplasmic reticulum,Contracts when actin and myosin filaments shorten,Contraction is initiated by calcium binding to troponin,Contraction is initiated by calcium binding to tropomyosin,C,45,No explanation given
82,Which of the following is most effective for gluconeogenesis in starvation?,Acetyl Co-A stimulation of pyruvate carboxylase,"Fructose-1, 6-biphosphate stimulation of phosphofructokinase-1",Citrate stimulation of acetyl carboxylase,"Fructose-2, 6-biphosphate stimulation of phosphofructokinase-2",A,45,"Ans: A(Ref: Harper 30/c 1)1880)Acetyl Co-A stimulation of pyruvate carboxylase is most effective for gluconeogenesis.In Gluconeogenesis, pyruvate carboxylase catalyzes oxaloacetate synthesis from pyruvate."
83,Which is not involved in iron metabolism?,Transthyretin,Ceruloplasmin,Hepcidin,Ferropoin,A,45,"Transferrin is used for transpoing iron throughout the body BUT Transthyretin (Option a) - transpos Thyroxine & Retinol binding protein. So, it is NOT involved in iron metabolism WITH RESPECT TO OTHER OPTIONS: (Option b) Ceruloplasmin is a Cu containing enzyme also having Ferroxidase activity. Ferroxidase conves Fe +2 to Fe +3 (i.e. Ferrous to ferric). Ferric form of iron is required for transpo by transferrin in plasma. (Option c) Hepcidin regulates iron transpo in circulation. (Option d) Ferritin & Haemosiderin are proteins for iron storage. Haemosiderin has higher iron content than Ferritin."
84,A 14 year girl presented with absent thelarche.On examination uterus was present. Investigations showed high FSH. karyotype is XY.What is the probable diagnosis?,Gonadal dysgenesis,Kallman syndrome,Androgen insensitivity syndrome,Adrenal hyperplasia,A,45,"Ans. A. Gonadal dysgenesisRef: Clinical Gynecologic Endocrinoktgt Infeility, 8"" ed.Gonadal dysgenesis (Swyer Syndrome):Uncommon form of gonadal dysgenesis, characterized by a 46,XY karyotype."
85,Reciprocal arm taper in,1 dimension,2 dimension,3 dimension,Not tapered,A,45,No explanation given
86,Bluegrass appliance is used to treat:,Thumb sucking.,Tongue thrusting.,Both,Mouth breathing.,C,45,No explanation given
87,On a primary 2nd molar caries occur most commonly on,Occlusal pit and fissures,Proximal caries below contact point,Buccal surface,Promixal caries above contact point,A,45,No explanation given
88,Waldeyer's lymphatic chain is formed by all except,Palatine tonsils,Pharyngeal tonsils,Tubal and lingual tonsils,Post auricular nodes,D,45,No explanation given
89,"Polydactyly, craniosynostosis, Late closure of fontanelles is a feature of:",Apert's syndrome,Crouton's syndrome,Pierre robin syndrome,Down' syndrome,A,45,No explanation given
90,Physiological changes seen in laparoscopy include all except:,Increased ICP,Decreased FRC,Increased CVP,Increased pH,D,45,"Ans: D. Increased pH(Ref Bailey 27/e p87, 26/e p94,. http://www.laparoscopyhospitaLcom/physiological-changes!laparasconyhtm1)Metabolic acidosis (decrease pH) from CO, absorption is the primary derangement with laparoscopy.Laparoscopy:In laparoscopic surgeries, rigid endoscope introduced through a sleeve into peritoneal cavity.Needle used for pneumoperitoneum: Veress needle.Most commonly used gas: CO2.Physiological Effects of LaparoscopyCardiovascularIncreased intra-abdominal pressure a | CVP, | PCWP, | SVR & | MAP a | Preload &| afterload a decreasing cardiac output.PulmonaryCephalad shift of diaphragm decreases FRC, chest wall compliance and tidal volume increasing the work of breathing.RenalIncreased IAP decreases renal flow, decreasing GFR & reduced urine output.Raised pCO2 leads to RAAS stimulation. No long-term change in GFR/UO.GastrointestinalDecreased perfusion to intestines and stomach (as a result of increase IAP) decreases pHDecreased poal and hepatic flow leads to elevation of LFTs.Peripheral vascularIncidence of DVT, PE is generally lower post-laparoscopic procedures probably secondary to improved prophylaxisRisk is increased with longer procedures and reverse Trendelenberg position."
